station,name,lat,lon,start,ending
306,Bær í Hrútafirði,65.2829971313,-21.2000007629,1916,1920.0
309,Þóroddsstaðir,65.233001709,-21.0830001831,1966,1984.0
310,Tannstaðabakki,65.2829971313,-21.1000003815,1984,1997.0
311,Reykir í Hrútafirði,65.2539825439,-21.0975666046,1997,
313,Haugur í Miðfirði,65.1837463379,-20.7849197388,2003,2004.0
315,Barkarstaðir,65.2035293579,-20.7728290558,1950,2002.0
317,Núpsdalstunga,65.25,-20.7670001984,1938,1949.0
321,Ásbjarnarstaðir,65.6029510498,-20.8051490784,1992,
324,Víðidalstunga,65.3669967651,-20.6000003815,1934,1936.0
326,Lækjamót,65.4169998169,-20.6000003815,1922,1929.0
333,Brúsastaðir,65.3795013428,-20.2484703064,2003,
335,Forsæludalur,65.3038330078,-20.1063308716,1956,2002.0
336,Eyjólfsstaðir,65.4000015259,-20.2670001984,1933,1933.0
339,Torfalækur,65.5999984741,-20.2999992371,1933,1934.0
340,Hjaltabakki,65.6330032349,-20.2999992371,1967,1981.0
341,Blönduós,65.6580810547,-20.3026008606,1981,2003.0
342,Blönduós,65.6669998169,-20.2999992371,1927,1979.0
346,Stafn,65.3742218018,-19.5872993469,1997,2019.0
348,Skagaströnd/Hof,65.8330001831,-20.3169994354,1876,1883.0
349,Kálfshamarsvík,66.016998291,-20.4169998169,1930,1930.0
352,Hraun á Skaga,66.111289978,-20.1034107208,1942,
360,Sauðárkrókur,65.75,-19.6499996185,1954,1978.0
361,Bergstaðir,65.7029800415,-19.61302948,1978,2018.0
365,Mælifell,65.4499969482,-19.3500003815,1934,1945.0
366,Nautabú,65.4590301514,-19.368270874,1945,2004.0
370,Litla-Hlíð,65.2898788452,-19.0373306274,1990,2024.0
383,Dalsmynni,65.7572174072,-19.2474308014,1991,2024.0
385,Hólar í Hjaltadal,65.733001709,-19.1170005798,1955,1990.0
388,Skriðuland,65.766998291,-19.1170005798,1934,1955.0
396,Skeiðsfoss,65.9986801147,-19.0132694244,1970,2023.0
398,Hraun í Fljótum,66.0999984741,-19.0669994354,1922,1933.0
400,Sauðanesviti,66.1852035522,-18.9533996582,1990,
401,Siglufjörður,66.1330032349,-18.9169998169,1980,1995.0
402,Siglunes,66.1829986572,-18.8330001831,1968,1990.0
403,Reyðará,66.1829986572,-18.783000946,1968,1980.0
404,Grímsey,66.5406341553,-18.0145168304,1874,2000.0
406,Kálfsárkot,66.0191268921,-18.7415294647,1987,2009.0
407,Ólafsfjörður,66.0764694214,-18.6363792419,2010,2023.0
408,Sakka,65.9281997681,-18.5351066589,2018,
409,Tjörn,65.9284820557,-18.5710697174,1969,2018.0
412,Hrísey,65.9883728027,-18.3988304138,1995,
418,Víkurbakki,65.9000015259,-18.283000946,1968,1976.0
419,Möðruvellir,65.770652771,-18.251329422,1997,2003.0
420,Auðnir,65.6025466919,-18.5215797424,1997,
421,Hlíðarfjall - skíðasvæði,65.662902832,-18.2145996094,2010,2010.0
422,Akureyri,65.6855773926,-18.1002292633,1881,
424,Tilraunastöðin á Akureyri,65.6669998169,-18.0830001831,1965,1974.0
425,Torfur,65.5015335083,-18.1512699127,2000,2014.0
426,Torfufell,65.3170013428,-18.2670001984,1969,1990.0
427,Gullbrekka,65.3991012573,-18.2544193268,1997,
428,Nýibær,65.1500015259,-18.2000007629,1972,1973.0
430,Eyjafjörður,65.6829986572,-18.0830001831,1880,1893.0
436,Grenivík,65.9499969482,-18.1830005646,1966,1967.0
437,Þverá í Dalsmynni,65.8613204956,-17.9015693665,1997,
445,Sólvangur,65.766998291,-17.8670005798,1967,1980.0
447,Vaglir II,65.7175064087,-17.8962097168,2012,
448,Lerkihlíð,65.7151794434,-17.8908004761,1979,2012.0
449,Sandbúðir,64.9329986572,-17.9829998016,1973,1978.0
452,Sandur,65.9569778442,-17.5481491089,1933,2005.0
458,Sandhaugar,65.5670013428,-17.5,1961,1989.0
460,Bjarnarstaðir,65.4329986572,-17.3500003815,1938,1945.0
462,Mýri,65.376373291,-17.387430191,1956,2021.0
463,Svartárkot,65.3418502808,-17.2465991974,1990,2023.0
466,Grænavatn,65.5329971313,-17.0,1922,1932.0
467,Gautlönd,65.5500030518,-17.1329994202,1891,1892.0
468,Reykjahlíð,65.6457214355,-16.9146003723,1936,
470,Þverá í Laxárdal,65.733001709,-17.25,1937,1937.0
473,Staðarhóll,65.82006073,-17.3447608948,1961,
476,Skógargerði,66.0329971313,-17.3330001831,1962,1978.0
477,Húsavík,66.0329971313,-17.3500003815,1924,1995.0
478,Hallbjarnarstaðir,66.1500015259,-17.25,1940,1940.0
479,Mánárbakki,66.1994781494,-17.1031799316,1956,2016.0
