bin_label,bin_lower_c_old,observed_accidents_old,time_proportional_rate_ratio_old,time_proportional_ci_95_low_old,time_proportional_ci_95_high_old,time_proportional_p_value_old,model_accidents_old,model_strata_old,model_rows_old,reference_bin_old,analysis_variable_old,bin_lower_c_fresh,observed_accidents_fresh,time_proportional_rate_ratio_fresh,time_proportional_ci_95_low_fresh,time_proportional_ci_95_high_fresh,time_proportional_p_value_fresh,model_accidents_fresh,model_strata_fresh,model_rows_fresh,reference_bin_fresh,analysis_variable_fresh
-3-0,-3.0,791,1.1077011092775018,1.0075104773809789,1.217855074504234,0.0344594735723766,4921,3976,29352,0-3,temperature,-3.0,822,1.1233502434578329,1.023613755755911,1.2328046222326134,0.0142079714817513,5118,4128,30609,0-3,temperature
-6--3,-6.0,347,0.8792914962840669,0.7749654581498486,0.9976619310018008,0.0459023717810213,4921,3976,29352,0-3,temperature,-6.0,350,0.8752941089240547,0.7723688990956005,0.991935042975268,0.036903165500135,5118,4128,30609,0-3,temperature
0-3,0.0,1010,1.0,,,,4921,3976,29352,0-3,temperature,0.0,1048,1.0,,,,5118,4128,30609,0-3,temperature
12-15,12.0,384,1.3352022032080888,1.1536494548280058,1.5453263692804518,0.0001058744225537,4921,3976,29352,0-3,temperature,12.0,409,1.359000157831756,1.1789332602033853,1.5665699589034583,2.3392159510643537e-05,5118,4128,30609,0-3,temperature
3-6,3.0,615,0.6043684919141513,0.5452223529219682,0.6699308494251364,9.405033941653062e-22,4921,3976,29352,0-3,temperature,3.0,650,0.6149017224832636,0.5561423373324281,0.6798693480638155,2.319629918196956e-21,5118,4128,30609,0-3,temperature
6-9,6.0,707,0.7263274010625699,0.6518810207233858,0.809275737079887,6.816075662719979e-09,4921,3976,29352,0-3,temperature,6.0,736,0.7245836561891495,0.6518568994175588,0.8054244348499618,2.378266268092852e-09,5118,4128,30609,0-3,temperature
9-12,9.0,697,0.9781299397247184,0.8648404833894973,1.1062597061092896,0.7247779340208294,4921,3976,29352,0-3,temperature,9.0,721,0.9690262532514912,0.8590202252243538,1.0931196401637433,0.6088144427733952,5118,4128,30609,0-3,temperature
<-6,-inf,198,0.7939609814119204,0.675915473920613,0.9326225901415268,0.0049647269328123,4921,3976,29352,0-3,temperature,-inf,195,0.7694239100730444,0.6552231321858396,0.9035290793490802,0.0013861785680753,5118,4128,30609,0-3,temperature
>=15,15.0,172,2.021776047926233,1.6784772193087565,2.4352897620210765,1.220423826647146e-13,4921,3976,29352,0-3,temperature,15.0,187,2.0971957179946785,1.7524705912923773,2.5097310627801717,6.304675330616241e-16,5118,4128,30609,0-3,temperature
