wind_bin,estimated_vehicle_km_old,accidents_old,estimated_vehicle_km_fresh,accidents_fresh,pct_change
0-5,5259354303.582941,2424,5440010474.211668,2539,3.4349496193031737
10-15,1113762843.4134438,578,1110604104.2086313,584,-0.28360967718510377
15-20,215713785.72981432,184,213016658.23848537,186,-1.2503269006215345
20-25,32006737.36921099,45,31595252.88266001,44,-1.2856183428018197
5-10,3401727480.923226,1684,3487556865.86418,1755,2.5231117255066104
>=25,4802672.921364002,18,4509622.934374827,17,-6.101810216672976
