bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,analysis_traffic_period,analysis_outcome,analysis_binning
0-10,0.0,3042,1.0,,,,3602,3125,9229,all,one,coarse
10-15,10.0,411,1.0687044987916912,0.9608755074468729,1.1886340081373639,0.2207665575630816,3602,3125,9229,all,one,coarse
>=15,15.0,149,1.4533961372110427,1.2230738703509119,1.7270913743369591,2.1622014079096366e-05,3602,3125,9229,all,one,coarse
