variable,bin_label,bin_order,observed_accidents,estimated_vehicle_km,raw_rate_per_million_vkt,within_section_year_season_expected,within_section_year_season_oe,exposure_weighted_section_baseline_rate,exposure_top_section_share,exposure_top_five_share,exposure_hhi,accident_top_section_share,accident_top_five_share,within_stratum_relative_contrast
f,0-5,0,344,3011454847.8371444,0.11423050232583234,348.1162285990282,0.9881757060979498,0.12108089915620494,0.012529304966803007,0.05208968369774052,0.002469092275065269,0.011627906976744186,0.04651162790697675,1.0
f,5-10,1,210,1963519066.6833,0.10695083310534072,245.56990355445316,0.8551536526276079,0.12520955575122822,0.01714572579442307,0.07038831842435402,0.003084447771967595,0.01904761904761905,0.08095238095238096,0.8653862337947857
f,10-15,2,96,539899925.1785336,0.17781073032794886,79.9300036189947,1.2010508651745688,0.126472527308739,0.023403618673858234,0.09583936672798138,0.004557397447524784,0.041666666666666664,0.15625,1.2154223765702639
f,15-20,3,33,98889631.01098731,0.33370536084145647,17.14033567005452,1.9252831820355496,0.13110248174287414,0.02322290643567251,0.09979871560296161,0.005201042138303663,0.06060606060606061,0.24242424242424243,1.948320698591139
f,>=20,4,11,16503739.36302562,0.6665156155243217,3.2435285574694395,3.391368321597903,0.1376539632507676,0.02609643768465929,0.10493905098447394,0.0057771912051197616,0.18181818181818182,0.5454545454545455,3.431948691583948
fg,0-5,0,205,1840903463.6036367,0.11135836509248828,218.1343926000025,0.9397876123822101,0.1214418383411341,0.013143557889848894,0.05405621278017274,0.0024092696372568626,0.01951219512195122,0.05853658536585366,1.0
fg,5-10,1,238,2133464937.3209543,0.11155561820428256,247.80866576054254,0.9604183908159989,0.12380447061108735,0.014776208519068927,0.06073649152784902,0.002751043945166357,0.01680672268907563,0.06302521008403361,1.0219525966952183
fg,10-15,2,129,1085125831.8122144,0.11888022219926657,141.12939567202363,0.9140547891226599,0.12406211940385542,0.01776193650822517,0.07286660207693446,0.003305112752337294,0.023255813953488372,0.10077519379844961,0.972618469406804
fg,15-20,3,70,400320014.8436339,0.17486010542676014,58.56519677798051,1.195249121510999,0.12449743757410803,0.020667325416169575,0.08474062037959747,0.0041611884423736105,0.04285714285714286,0.17142857142857143,1.2718289811048213
fg,20-25,4,29,123282803.0372026,0.23523151068562886,20.03754016149808,1.4472834373015104,0.1277298030907941,0.02092997140646116,0.08948136574485972,0.004582711975886506,0.06896551724137931,0.27586206896551724,1.5400111878819942
fg,25-30,5,12,34474285.78386289,0.34808552888475197,6.054292527910414,1.9820647820830841,0.13027683391224293,0.024962854201680134,0.09263978625165466,0.0052200259882822465,0.08333333333333333,0.41666666666666663,2.109056084553902
fg,>=30,6,11,12695873.671485938,0.8664232399149691,2.2705165000423273,4.844712645688739,0.12641008793223654,0.03974831805802726,0.13254926334413902,0.007811359225615879,0.18181818181818182,0.5454545454545455,5.1551143916529965
