bin_label,bin_lower_ms,weather_expected_accidents,estimated_vehicle_km,road_section_periods,observed_accidents,traffic_expected_accidents,weather_only_oe,annual_traffic_adjusted_oe,rate_per_100m_vehicle_km,analysis_population
0-3,0.0,1298.162097893784,2651442263.0452833,3505,1098,1271.7750350170074,0.8458111677898015,0.8633602404259464,41.41142408806989,4237
3-6,3.0,1302.7852692397162,2803699628.853069,3505,1394,1344.805898042248,1.0700151689721786,1.036580819603311,49.72001942198974,4237
6-9,6.0,839.2294557791827,1766586431.495748,3505,828,847.3503466734567,0.9866193259759255,0.9771637000569804,46.870053184940524,4237
9-12,9.0,455.7388846419285,955996703.616201,3505,466,458.5476961588559,1.0225153387254493,1.0162519709586817,48.74493795190769,4237
12-15,12.0,209.9971202666909,428190761.4862628,3505,235,205.38343537516832,1.119062964775689,1.144201330407839,54.88208087075677,4237
15-18,15.0,84.03913714597445,154151733.47222942,3505,120,73.93950415854435,1.427906140820582,1.6229484003935257,77.84537824974775,4237
18-21,18.0,31.08918289412379,51224320.29897612,3505,59,24.569952983675496,1.897766184493439,2.4013069963625955,115.17966398702862,4237
21-24,21.0,10.673915540453104,15661190.850620408,3505,19,7.511953709140843,1.780040316788328,2.529302061177513,121.3189991822833,4237
>=24,24.0,5.2849365981465075,6496719.551610507,3505,18,3.1161778819032193,3.4059065167050107,5.776306963903621,277.0629062407024,4237
