f_bin,counter_days,counters,observed_daily_vehicles,expected_daily_vehicles,median_daily_traffic_oe,observed_to_expected_traffic,relative_traffic_pct,oe_ci_95_low,oe_ci_95_high,relative_traffic_ci_95_low_pct,relative_traffic_ci_95_high_pct,scope
0-5,404666,466,2315758348,2298779126.75,1.0107142857142857,1.007386190805554,100.7386190805554,1.0067035923638992,1.0082901997219127,100.67035923638991,100.82901997219128,All periods
5-10,260989,466,974757809,982810258.6166667,0.9958306886519539,0.9918067098444814,99.18067098444814,0.9903759999079765,0.9933233837174552,99.03759999079766,99.33233837174552,All periods
10-15,60436,465,122016392,129331563.31666666,0.9453901148838211,0.9434386229542779,94.3438622954278,0.9368184552776161,0.9497564795095084,93.68184552776161,94.97564795095084,All periods
15-20,10793,365,10881166,12517816.316666666,0.8442906574394463,0.8692543271714595,86.92543271714595,0.8405809786865978,0.8936821140786781,84.05809786865977,89.36821140786782,All periods
20-25,1359,218,747443,997774.65,0.617740232312566,0.7491100320097328,74.91100320097328,0.674101394913623,0.8078301230858062,67.4101394913623,80.78301230858061,All periods
>=25,181,78,46247,74850.23333333334,0.20967095851216022,0.6178604653648374,61.78604653648374,0.45466931580147435,0.7421311118506567,45.46693158014744,74.21311118506567,All periods
0-5,111244,465,598251855,590234101.25,1.02610121604569,1.013584023242676,101.3584023242676,1.0120749126570205,1.015514409233519,101.20749126570206,101.5514409233519,VDU
5-10,91254,465,317679494,321069421.23333335,0.9997276124688116,0.9894417624066736,98.94417624066736,0.9872180662510921,0.9920175654480332,98.72180662510921,99.20175654480332,VDU
10-15,30258,465,55207346,59551934.88333333,0.9267051238547676,0.9270453782594184,92.70453782594184,0.9185116579514018,0.9352181232654093,91.85116579514018,93.52181232654092,VDU
15-20,6669,357,5989200,7122132.5,0.7874528212447248,0.8409279102852972,84.09279102852972,0.8040910723635004,0.8769241495580138,80.40910723635004,87.69241495580138,VDU
20-25,944,183,507844,670103.1,0.5674184170689642,0.7578594995307438,75.78594995307438,0.6730308397578753,0.820969198696995,67.30308397578753,82.0969198696995,VDU
>=25,136,73,27564,50150.833333333336,0.16908212560386474,0.5496219737126335,54.96219737126336,0.3908806816769259,0.687134306585039,39.08806816769259,68.71343065850391,VDU
0-5,156222,460,956230310,953559030.8333334,1.0063812568068906,1.0028013778699492,100.28013778699491,1.0020310223188873,1.003647951585074,100.20310223188874,100.3647951585074,SDU
5-10,81015,459,321347905,322789930.8,0.9934915443755288,0.9955326183923207,99.55326183923206,0.9937307897594381,0.9973656734034153,99.37307897594381,99.73656734034154,SDU
10-15,11452,421,24941776,25834852.166666668,0.9546035068454634,0.9654313420914807,96.54313420914808,0.9581215745386075,0.9714027429522604,95.81215745386075,97.14027429522604,SDU
15-20,1135,203,1501877,1662087.8333333333,0.8864864864864865,0.9036086841379322,90.36086841379321,0.8814924401910298,0.9211573281583334,88.14924401910298,92.11573281583334,SDU
20-25,104,58,49772,72525.26666666666,0.5002786125417517,0.6862711753788795,68.62711753788795,0.5669988628290058,0.765685402207488,56.69988628290058,76.5685402207488,SDU
>=25,16,11,7728,13323.5,0.18482064990926045,0.5800277704807295,58.00277704807295,0.13598427428851018,0.8595802059535064,13.598427428851018,85.95802059535063,SDU
0-5,137200,465,761276183,754985994.6666666,1.0057142857142858,1.0083315298267361,100.83315298267361,1.0077007613346873,1.008961485581738,100.77007613346873,100.89614855817379,VHDU
5-10,88720,465,335730410,338950906.5833333,0.9945113693064367,0.990498634106643,99.0498634106643,0.9888411122518149,0.9922808836388112,98.8841112251815,99.22808836388111,VHDU
10-15,18726,464,41867270,43944776.266666666,0.9607486353002339,0.952724613864003,95.2724613864003,0.9442799125752365,0.9600795805646796,94.42799125752364,96.00795805646796,VHDU
15-20,2989,286,3390089,3733595.9833333334,0.8965719460370627,0.9079956736436564,90.79956736436564,0.8864379548191809,0.9270853682415027,88.64379548191809,92.70853682415027,VHDU
20-25,311,121,189827,255146.28333333333,0.8049645390070922,0.7439928088311693,74.39928088311693,0.6487456068309674,0.8103185248227406,64.87456068309673,81.03185248227406,VHDU
>=25,29,19,10955,11375.9,0.9213732004429679,0.9630007296126021,96.30007296126021,0.7530611392479135,1.0824284730789602,75.30611392479135,108.24284730789601,VHDU
