weather_variable,available_accidents,matched_accidents,matched_pct,unmatched_accidents,stations_used,median_distance_km,p90_distance_km,median_time_difference_min,maximum_time_difference_min
Mean wind and gust,6414,6259,97.58341128780792,155,279,5.127828623314073,12.307372067070089,2.0,5.0
Temperature,6414,6259,97.58341128780792,155,279,5.127828623314073,12.307372067070089,2.0,5.0
