wind_bin,observed_accidents,observed_vehicles,counter_days,counters,accidents_per_100k_counted_vehicles,rate_ratio,ci_95_low,ci_95_high,p_value,model_accidents,model_strata,model_rows
0-10,668,448614468,153213,230,0.1489029105499112,1.0,,,,767,488,1307
10-15,85,30314792,14563,229,0.2803911700928049,1.628630851209215,1.285806136676823,2.062860312959543,5.2416754617361654e-05,767,488,1307
>=15,14,2634836,2142,170,0.5313423681777538,2.7258412857300747,1.5544371164726671,4.780000835190581,0.00046655137932961194,767,488,1307
