bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,analysis_traffic_period,analysis_vehicle_group
0-5,0.0,2435,1.0,,,,4958,4004,19924,all,all
5-10,5.0,1706,1.1024138317637058,1.0346222338981417,1.1746473414600753,0.0026031838573925816,4958,4004,19924,all,all
10-15,10.0,570,1.1094774932196474,1.0090927259439035,1.2198485593180082,0.031790893737883165,4958,4004,19924,all,all
15-20,15.0,182,1.5927836760274572,1.3632970547072056,1.86090025637472,4.513940093802893e-09,4958,4004,19924,all,all
20-25,20.0,48,2.3774653977067604,1.7755448238719354,3.1834407339640616,6.083524262465297e-09,4958,4004,19924,all,all
>=25,25.0,17,4.493286342767233,2.7499545035205495,7.341802248819519,1.997793592134005e-09,4958,4004,19924,all,all
