variable,outcome,period,bin_label,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,analysed_accidents,contributing_stations,background_measurements,sparse_bin,max_distance_km,max_time_difference_minutes
f,All injury accidents,All year,0-5,0,930,969.404030729292,0.9593523139163678,1829,216,23776384,False,20,5
f,All injury accidents,All year,5-10,1,580,601.320370590384,0.9645440739527062,1829,216,14316265,False,20,5
f,All injury accidents,All year,10-15,2,227,201.55346448844674,1.1262520372752605,1829,216,4654576,False,20,5
f,All injury accidents,All year,15-20,3,68,46.5511349322457,1.4607592295864047,1829,214,1116913,False,20,5
f,All injury accidents,All year,>=20,4,24,10.170999259631499,2.3596501570160897,1829,207,272054,False,20,5
f,Severe/fatal accidents,All year,0-5,0,240,255.17060653700162,0.9405472019568141,469,158,13226480,False,20,5
f,Severe/fatal accidents,All year,5-10,1,155,153.34255722597686,1.010808759186014,469,158,7909503,False,20,5
f,Severe/fatal accidents,All year,10-15,2,51,47.67056569542701,1.0698425591557934,469,158,2499508,False,20,5
f,Severe/fatal accidents,All year,15-20,3,17,10.435067730848212,1.6291221521969133,469,155,575963,True,20,5
f,Severe/fatal accidents,All year,>=20,4,6,2.3812028107463004,2.5197349729817935,469,149,138428,True,20,5
fg,All injury accidents,All year,0-5,0,583,642.1548172145293,0.9078807545645694,1829,216,15927628,False,20,5
fg,All injury accidents,All year,5-10,1,615,610.9107468260025,1.0066936998493532,1829,216,14671182,False,20,5
fg,All injury accidents,All year,10-15,2,352,351.16581317965193,1.0023754784464776,1829,216,8301712,False,20,5
fg,All injury accidents,All year,15-20,3,171,149.69186736950493,1.1423466284771322,1829,216,3443363,False,20,5
fg,All injury accidents,All year,20-25,4,58,52.49298876052219,1.104909462568445,1829,216,1234408,False,20,5
fg,All injury accidents,All year,25-30,5,22,16.26593417977904,1.3525199202729623,1829,216,395936,False,20,5
fg,All injury accidents,All year,>=30,6,28,6.317832470009986,4.431899727147362,1829,210,161963,False,20,5
fg,Severe/fatal accidents,All year,0-5,0,149,169.513946095328,0.8789837263077354,469,158,8846059,False,20,5
fg,Severe/fatal accidents,All year,5-10,1,170,161.0176881319176,1.055784628212544,469,158,8275493,False,20,5
fg,Severe/fatal accidents,All year,10-15,2,81,87.11400758129419,0.9298160221180429,469,158,4498069,False,20,5
fg,Severe/fatal accidents,All year,15-20,3,38,34.64170273764363,1.0969437699927798,469,158,1810186,False,20,5
fg,Severe/fatal accidents,All year,20-25,4,14,11.599229515353906,1.2069767204337316,469,158,627938,True,20,5
fg,Severe/fatal accidents,All year,25-30,5,10,3.5998825746062213,2.777868386746994,469,157,201999,True,20,5
fg,Severe/fatal accidents,All year,>=30,6,7,1.5135433638564588,4.624908785014411,469,151,90138,True,20,5
temperature,All injury accidents,All year,<-6,0,60,84.00096933430852,0.7142774717421528,1568,112,1448810,False,20,5
temperature,All injury accidents,All year,-6--3,1,134,116.30965894125296,1.1520969214403962,1568,120,1824827,False,20,5
temperature,All injury accidents,All year,-3-0,2,233,200.97724863377508,1.1593352062679365,1568,123,3053933,False,20,5
temperature,All injury accidents,All year,0-3,3,287,278.3501813554899,1.0310753116897133,1568,124,4143509,False,20,5
temperature,All injury accidents,All year,3-6,4,191,277.05196452289186,0.6894013559114045,1568,124,4376224,False,20,5
temperature,All injury accidents,All year,6-9,5,244,275.6202971563896,0.8852758759691491,1568,123,4609275,False,20,5
temperature,All injury accidents,All year,9-12,6,217,215.14044363512252,1.0086434532413222,1568,123,3547930,False,20,5
temperature,All injury accidents,All year,>=12,7,202,120.54923642076956,1.6756638697812374,1568,120,2020627,False,20,5
temperature,Severe/fatal accidents,All year,<-6,0,11,16.903492089473982,0.6507531072144459,402,76,624639,True,20,5
temperature,Severe/fatal accidents,All year,-6--3,1,23,23.54549080352562,0.9768324725919946,402,89,878302,False,20,5
temperature,Severe/fatal accidents,All year,-3-0,2,34,41.667927431972615,0.8159753099193299,402,97,1565685,False,20,5
temperature,Severe/fatal accidents,All year,0-3,3,66,62.99692138457786,1.0476702440281045,402,99,2315468,False,20,5
temperature,Severe/fatal accidents,All year,3-6,4,53,71.89804655861826,0.737154937259516,402,99,2713388,False,20,5
temperature,Severe/fatal accidents,All year,6-9,5,74,80.2393949406572,0.9222402543629388,402,99,3197847,False,20,5
temperature,Severe/fatal accidents,All year,9-12,6,74,66.00974397364546,1.1210466144141489,402,99,2657893,False,20,5
temperature,Severe/fatal accidents,All year,>=12,7,67,38.738982817529,1.7295239866154455,402,93,1590423,False,20,5
