variable,period,outcome,coarse_bin,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,bootstrap_ci_95_low,bootstrap_ci_95_high,analysed_accidents,sparse_bin,bootstrap_stations,bootstrap_reps
f,All year,All injury accidents (meiðsli ≤ 3),0-5,0,3107,3279.810421849389,0.947310850438744,0.9247126987378168,0.9703141519918072,6192,False,270,5000
f,All year,All injury accidents (meiðsli ≤ 3),5-10,1,2085,2035.930897782972,1.0241015558388853,0.9865484744475737,1.0657105822262478,6192,False,270,5000
f,All year,All injury accidents (meiðsli ≤ 3),10-15,2,700,683.7664006315317,1.0237414405760137,0.94109858570051,1.1069281073781403,6192,False,270,5000
f,All year,All injury accidents (meiðsli ≤ 3),15-20,3,223,157.1247404293699,1.4192545323582704,1.2251162371708109,1.604265915717097,6192,False,270,5000
f,All year,All injury accidents (meiðsli ≤ 3),20-25,4,61,28.95002284178858,2.107079511935588,1.541599670084574,2.7309932670790555,6192,False,270,5000
f,All year,All injury accidents (meiðsli ≤ 3),>=25,5,16,6.417516464948717,2.4931763069699984,0.856546213735771,5.36934419521696,6192,True,270,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),0-5,0,734,762.5353359838282,0.962578342750488,0.9116768203416136,1.0133774107285407,1404,False,229,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),5-10,1,466,457.9080908275683,1.0176714701804184,0.9446680856280952,1.092176713055772,1404,False,229,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),10-15,2,144,144.36095672276286,0.9974996236450824,0.8384846064031328,1.1717180519513573,1404,False,229,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),15-20,3,46,31.868888295698525,1.4434140147338874,1.0291984450891236,1.9036870719866057,1404,False,229,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),20-25,4,11,5.982372442018774,1.8387354024865776,0.6799115282980582,3.3510949463634763,1404,True,229,5000
f,All year,Serious/fatal subset (meiðsli ≤ 2),>=25,5,3,1.344355728123213,2.2315522128865015,0.0,6.685932747762604,1404,True,229,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),0-5,0,587,568.1675513559154,1.033145941895382,0.9801150547310729,1.085794117614143,1096,False,184,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),5-10,1,327,352.0345052142928,0.9288862175625268,0.8533054872035004,1.0033301678642546,1096,False,184,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),10-15,2,126,134.79344067715837,0.9347635861731624,0.7862509629753351,1.089874967141709,1096,False,184,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),15-20,3,37,33.21129587508492,1.1140787802790122,0.7884579250854112,1.441238848070688,1096,False,184,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),20-25,4,15,6.132042373557863,2.4461670494453664,1.270504488307885,3.8996551287531216,1096,True,184,5000
f,Autumn,All injury accidents (meiðsli ≤ 3),>=25,5,4,1.661164503990599,2.407949357448248,0.0,6.383061337384159,1096,True,184,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),0-5,0,120,109.19557515111084,1.098945628830998,0.9592113679933132,1.2408963254088698,212,False,119,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),5-10,1,57,68.95736780605485,0.8265976764123975,0.6395014146198378,1.0258528363148276,212,False,119,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),10-15,2,22,26.258488092608125,0.837824322649905,0.5140942967764293,1.2066991811206829,212,False,119,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),15-20,3,7,6.248344947951946,1.120296663886079,0.3951150059927307,2.0140698500549585,212,True,119,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),20-25,4,5,1.124987462208486,4.4444939770123275,1.1246714419088166,8.207911224070312,212,True,119,5000
f,Autumn,Serious/fatal subset (meiðsli ≤ 2),>=25,5,1,0.2152365400657335,4.646051268500221,0.0,24.161205073429585,212,True,119,5000
f,Spring,All injury accidents (meiðsli ≤ 3),0-5,0,370,413.3264668244206,0.8951761614558655,0.8397660038663296,0.9533432457657832,790,False,185,5000
f,Spring,All injury accidents (meiðsli ≤ 3),5-10,1,302,280.3625501744718,1.077176676457191,0.9771270086102992,1.1795624691449602,790,False,185,5000
f,Spring,All injury accidents (meiðsli ≤ 3),10-15,2,79,79.60315393577078,0.992422989467761,0.7684615564396516,1.2116899890415411,790,False,185,5000
f,Spring,All injury accidents (meiðsli ≤ 3),15-20,3,24,14.24585690106276,1.684700342470067,1.0561837828323335,2.330876052878454,790,False,185,5000
f,Spring,All injury accidents (meiðsli ≤ 3),20-25,4,10,2.0993232173175893,4.763439911257449,1.8945705852707877,8.63741640851792,790,True,185,5000
f,Spring,All injury accidents (meiðsli ≤ 3),>=25,5,5,0.3626489469564662,13.787438353158151,2.043445334179258,41.81109000794237,790,True,185,5000
