bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,counter_informed_rate_ratio,counter_informed_ci_95_low,counter_informed_ci_95_high,counter_informed_p_value,analysis_traffic_period,analysis_vehicle_group
0-5,0.0,2435,1.0,,,,4958,4004,19924,1.0,,,,all,all
5-10,5.0,1706,1.1024848226637936,1.0346900996156634,1.174721575721566,0.0025857007313776293,4958,4004,19924,1.1206873354241063,1.051781059129592,1.194107930427407,0.0004327485876625346,all,all
10-15,10.0,570,1.1093793463690467,1.0090009116726792,1.2197437285859067,0.03194128794072502,4958,4004,19924,1.1831195190112394,1.0760425781728264,1.3008516806484256,0.0005124099450707253,all,all
15-20,15.0,182,1.5942015733275257,1.3645967127872274,1.8624393805030617,4.158580813038216e-09,4958,4004,19924,1.8475042623079068,1.5815685724004946,2.1581561867186325,9.863409554587695e-15,all,all
20-25,20.0,48,2.3610423589214045,1.761620665722228,3.164427580290511,8.957805033389684e-09,4958,4004,19924,3.1587189050681954,2.356312249865158,4.234373064013987,1.4485183886937072e-14,all,all
>=25,25.0,17,4.516383989426924,2.7673739651341274,7.3707871060943635,1.609031756502251e-09,4958,4004,19924,7.092714244788604,4.325615722882986,11.62992706266063,8.18998866987133e-15,all,all
