f_bin,counter_days,counters,observed_daily_vehicles,expected_daily_vehicles,median_daily_traffic_oe,observed_to_expected_traffic,relative_traffic_pct,oe_ci_95_low,oe_ci_95_high,relative_traffic_ci_95_low_pct,relative_traffic_ci_95_high_pct,scope
0-5,404722,466,2315898087,2298916927.3166666,1.010714048046849,1.0073865912602393,100.73865912602393,1.0067035275786447,1.0082903315976082,100.67035275786446,100.82903315976081,All periods
5-10,260938,466,974621529,982675992.55,0.9958277891793148,0.9918035409320431,99.18035409320431,0.9903750577239608,0.9933203809602387,99.03750577239609,99.33203809602387,All periods
10-15,60431,465,122012933,129328028.81666666,0.9453781512605042,0.9434376609339927,94.34376609339927,0.9368179081866782,0.9497550375112698,93.68179081866782,94.97550375112698,All periods
15-20,10793,365,10881166,12517816.316666666,0.8442906574394463,0.8692543271714595,86.92543271714595,0.8405809786865978,0.8936821140786781,84.05809786865977,89.36821140786782,All periods
20-25,1359,218,747443,997774.65,0.617740232312566,0.7491100320097328,74.91100320097328,0.674101394913623,0.8078301230858062,67.4101394913623,80.78301230858061,All periods
>=25,181,78,46247,74850.23333333334,0.20967095851216022,0.6178604653648374,61.78604653648374,0.45466931580147435,0.7421311118506567,45.46693158014744,74.21311118506567,All periods
0-5,111256,465,598265430,590245621.5,1.0261031939172338,1.0135872392913634,101.35872392913635,1.0120784739374562,1.015524016733292,101.20784739374562,101.5524016733292,VDU
5-10,91243,465,317666422,321058372.48333335,0.9997189792498732,0.9894350972469673,98.94350972469674,0.9872170406947371,0.9920149419109023,98.72170406947372,99.20149419109023,VDU
10-15,30257,465,55206843,59551463.38333333,0.9267000725603585,0.9270442716853662,92.70442716853663,0.9185093866222761,0.9352171943036516,91.8509386622276,93.52171943036515,VDU
15-20,6669,357,5989200,7122132.5,0.7874528212447248,0.8409279102852972,84.09279102852972,0.8040910723635004,0.8769241495580138,80.40910723635004,87.69241495580138,VDU
20-25,944,183,507844,670103.1,0.5674184170689642,0.7578594995307438,75.78594995307438,0.6730308397578753,0.820969198696995,67.30308397578753,82.0969198696995,VDU
>=25,136,73,27564,50150.833333333336,0.16908212560386474,0.5496219737126335,54.96219737126336,0.3908806816769259,0.687134306585039,39.08806816769259,68.71343065850391,VDU
0-5,156245,460,956309710,953638948.85,1.0063771636805345,1.002800599905468,100.28005999054682,1.0020297880153992,1.003648221423815,100.20297880153993,100.3648221423815,SDU
5-10,80994,459,321270700,322712324.5833333,0.9934946127261638,0.9955327873356102,99.55327873356103,0.9937310952606004,0.9973693593604779,99.37310952606005,99.73693593604779,SDU
10-15,11450,421,24939581,25832540.366666667,0.9546035068454634,0.9654327699098882,96.54327699098883,0.9581216121244108,0.9714042989527417,95.81216121244108,97.14042989527417,SDU
15-20,1135,203,1501877,1662087.8333333333,0.8864864864864865,0.9036086841379322,90.36086841379321,0.8814924401910298,0.9211573281583334,88.14924401910298,92.11573281583334,SDU
20-25,104,58,49772,72525.26666666666,0.5002786125417517,0.6862711753788795,68.62711753788795,0.5669988628290058,0.765685402207488,56.69988628290058,76.5685402207488,SDU
>=25,16,11,7728,13323.5,0.18482064990926045,0.5800277704807295,58.00277704807295,0.13598427428851018,0.8595802059535064,13.598427428851018,85.95802059535063,SDU
0-5,137221,465,761322947,755032356.9666667,1.0057142857142858,1.0083315502644226,100.83315502644226,1.0077004503589828,1.0089609379246676,100.77004503589828,100.89609379246676,VHDU
5-10,88701,465,335684407,338905295.48333335,0.9945062887387259,0.990496199008222,99.0496199008222,0.9888406693415228,0.9922773769829025,98.88406693415229,99.22773769829026,VHDU
10-15,18724,464,41866509,43944025.06666667,0.9607004331135609,0.9527235827051593,95.27235827051594,0.9442765098244892,0.9600790313186436,94.42765098244892,96.00790313186435,VHDU
15-20,2989,286,3390089,3733595.9833333334,0.8965719460370627,0.9079956736436564,90.79956736436564,0.8864379548191809,0.9270853682415027,88.64379548191809,92.70853682415027,VHDU
20-25,311,121,189827,255146.28333333333,0.8049645390070922,0.7439928088311693,74.39928088311693,0.6487456068309674,0.8103185248227406,64.87456068309673,81.03185248227406,VHDU
>=25,29,19,10955,11375.9,0.9213732004429679,0.9630007296126021,96.30007296126021,0.7530611392479135,1.0824284730789602,75.30611392479135,108.24284730789601,VHDU
