predictor,comparison,reference,odds_ratio,ci_95_low,ci_95_high,p_value,observed_accidents,total_strata,informative_strata,control_times,matching
Daylight,Darkness,Daylight,1.1416251265928117,0.8769061030920645,1.4862571090250718,0.32508664953150057,1477,6414,985,21791,"same location, month, weekday, and clock time"
Daylight,Civil twilight,Daylight,1.1017111962759136,0.9237908600037753,1.3138986458414887,0.2810882584669594,674,6414,985,21791,"same location, month, weekday, and clock time"
