max_counter_distance_km,wind_bin,study_accidents,exact_section_candidates,within_distance,with_valid_counter_day,fitted_model_strata,observed_accidents,rate_ratio,ci_95_low,ci_95_high
5,10-15,1863,864,656,585,403,68,1.6056267050645778,1.2283268994290364,2.0988200431130206
5,>=15,1863,864,656,585,403,12,2.648522543665994,1.4373257233424745,4.880363267968582
10,10-15,1863,864,842,750,479,84,1.5869700508445996,1.2512901907370708,2.0127017385105583
10,>=15,1863,864,842,750,479,14,2.4778924949007575,1.4120007308873168,4.348405126127016
20,10-15,1863,864,863,767,490,88,1.626080337151074,1.288704147015901,2.051779897653053
20,>=15,1863,864,863,767,490,14,2.4194786730211195,1.3795303119160292,4.243384142153129
