wind_bin,observed_accidents,observed_vehicles,counter_days,counters,accidents_per_100k_counted_vehicles,rate_ratio,ci_95_low,ci_95_high,p_value,model_accidents,model_strata,model_rows
0-5,392,284393198,87655,230,0.1378373332262328,1.0,,,,767,493,1924
5-10,273,164363094,64371,230,0.16609568082236273,1.0545335103304994,0.899119820807799,1.2368105992935083,0.513924188481399,767,493,1924
10-15,88,29868420,15258,230,0.2946255610440726,1.7094374696028738,1.341613702634515,2.178105707137624,1.4431634885234107e-05,767,493,1924
15-20,12,2719300,2173,176,0.4412900378773949,2.426611794166171,1.3480885996473932,4.367995398170824,0.0031176188917038604,767,493,1924
20-25,1,80251,203,64,1.246090391396992,4.315921003630033,0.5937426267396781,31.37247229807169,0.1484939455915368,767,493,1924
>=25,1,3578,6,6,27.94857462269424,170.9544481146332,18.19020299041565,1606.6573498700145,6.872231204728412e-06,767,493,1924
