hours_with_f_ge15,counter_days,counters,observed_vehicles,expected_vehicles,relative_traffic_pct,ci_95_low_pct,ci_95_high_pct
0,637308,466,3235419821,3226175249.383333,100.28654895974525,100.24819428748025,100.33423851949297
>0-2,43200,464,87077876,90297821.28333333,96.43408308465173,95.90900480353474,96.90659602222328
2-6,27174,458,44984787,47649417.266666666,94.40784290864619,93.57197276915751,95.14703708686567
>=6,25398,435,26934631,30294627.066666666,88.90893735290874,86.95712602677942,90.62713427164766
