bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,analysis_traffic_period,analysis_outcome,analysis_binning
0-10,0.0,1201,1.0,,,,1470,1297,3826,all,two-plus,coarse
10-15,10.0,172,1.1120073929358216,0.9416010699739978,1.313253012741447,0.21095353409626338,1470,1297,3826,all,two-plus,coarse
>=15,15.0,97,2.373727094363257,1.8992628624192973,2.9667195784246805,3.0081164276560316e-14,1470,1297,3826,all,two-plus,coarse
