bin_label,bin_lower_c,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,reference_bin,analysis_variable
<-6,-inf,117,0.7472889742955469,0.6073910313656866,0.9194090499625355,0.00587874828139788,3136,2562,19009,0-3,temperature
-6--3,-6.0,213,0.8583848682242309,0.7313245984859387,1.0075205777595588,0.061720949116190006,3136,2562,19009,0-3,temperature
-3-0,-3.0,484,1.0827542914964965,0.9602041563353642,1.2209454083477418,0.19451476855542638,3136,2562,19009,0-3,temperature
0-3,0.0,642,1.0,,,,3136,2562,19009,0-3,temperature
3-6,3.0,391,0.6044214147285616,0.531221978928374,0.6877073258893408,2.1015883797915076e-14,3136,2562,19009,0-3,temperature
6-9,6.0,449,0.7304317822722618,0.6379557481766751,0.8363128478398429,5.413148368301954e-06,3136,2562,19009,0-3,temperature
9-12,9.0,441,0.9538294229929,0.8175699893248797,1.1127983904084362,0.5478176104808516,3136,2562,19009,0-3,temperature
12-15,12.0,277,1.4106968369325665,1.1812155726857694,1.684760692078136,0.00014555079566591243,3136,2562,19009,0-3,temperature
>=15,15.0,122,1.9970168213712383,1.5920559893279926,2.5049848821730523,2.208456398958907e-09,3136,2562,19009,0-3,temperature
