variable,outcome,period,bin_label,bin_order,observed_accidents,time_expected_accidents,time_oe,traffic_multiplier,traffic_change_pct,traffic_corrected_expected_accidents,traffic_corrected_oe,analysed_accidents,analysis_period,traffic_response_period
f,All injury accidents,All year,0-5,0,3156,3339.117924105387,0.9451597912180812,1.0115174385988082,1.151743859880816,3383.3217187228934,0.9328110840110408,6259,2007-2025,2019-2024
f,All injury accidents,All year,5-10,1,2123,2068.845376894629,1.0261762544993371,0.9953701491327854,-0.4629850867214569,2069.3590133476505,1.025921546868551,6259,2007-2025,2019-2024
f,All injury accidents,All year,10-15,2,695,670.1999490278284,1.0370039583084805,0.9569581886307116,-4.304181136928853,647.2267078287169,1.0738123003785651,6259,2007-2025,2019-2024
f,All injury accidents,All year,15-20,3,217,149.24046003954382,1.4540292889910829,0.8859997600179389,-11.40002399820611,134.03767633727526,1.6189477908731345,6259,2007-2025,2019-2024
f,All injury accidents,All year,>=20,4,68,31.59628993261168,2.152151412239534,0.7772452765557689,-22.275472344423108,25.054883763464186,2.714041727032864,6259,2007-2025,2019-2024
f,Severe/fatal accidents,All year,0-5,0,743,773.9236828301949,0.9600429816062628,1.0115174385988082,1.151743859880816,783.6751764523367,0.9480968931075864,1424,2007-2025,2019-2024
f,Severe/fatal accidents,All year,5-10,1,476,470.4970952089662,1.0116959378645891,0.9953701491327854,-0.4629850867214569,470.23079243600296,1.0122688851023771,1424,2007-2025,2019-2024
f,Severe/fatal accidents,All year,10-15,2,148,142.87700602355832,1.0358559723430725,0.9569581886307116,-4.304181136928853,137.83376576719064,1.0737572116398584,1424,2007-2025,2019-2024
f,Severe/fatal accidents,All year,15-20,3,45,30.287405577673137,1.4857660846715937,0.8859997600179389,-11.40002399820611,27.176795302951056,1.6558243714303418,1424,2007-2025,2019-2024
f,Severe/fatal accidents,All year,>=20,4,12,6.41481035960747,1.8706710451740145,0.7772452765557689,-22.275472344423108,5.083470041518646,2.360592253321335,1424,2007-2025,2019-2024
fg,All injury accidents,All year,0-5,0,1976,2206.017546226623,0.8957317693959115,1.0142611530534085,1.426115305340847,2238.61889359894,0.8826870914250448,6259,2007-2025,2019-2024
fg,All injury accidents,All year,5-10,1,2233,2146.2457640036746,1.040421389503172,1.0064592610519796,0.6459261051979581,2163.8892536807452,1.0319382085759234,6259,2007-2025,2019-2024
fg,All injury accidents,All year,10-15,2,1186,1188.0338097088943,0.9982880876854904,0.9893384267917004,-1.0661573208299746,1180.2810266670078,1.0048454335906272,6259,2007-2025,2019-2024
fg,All injury accidents,All year,15-20,3,520,487.5920036618268,1.0664653974937826,0.9565905399061172,-4.340946009388292,469.6286096506415,1.1072579253355752,6259,2007-2025,2019-2024
fg,All injury accidents,All year,20-25,4,206,164.1378484548471,1.2550426482327677,0.9048424267475368,-9.515757325246332,149.91859348196974,1.374079059945123,6259,2007-2025,2019-2024
fg,All injury accidents,All year,25-30,5,77,48.72593563053669,1.580267243790879,0.8541084617079505,-14.589153829204948,42.12303983644224,1.8279782346900895,6259,2007-2025,2019-2024
fg,All injury accidents,All year,>=30,6,61,18.24709231359742,3.3429983775850056,0.7849000734481335,-21.50999265518665,14.540583084253623,4.19515501177243,6259,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,0-5,0,461,512.2570078782835,0.8999388840172537,1.0142611530534085,1.426115305340847,519.4179278102584,0.8875319378048147,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,5-10,1,531,498.1054938429118,1.0660392357918105,1.0064592610519796,0.6459261051979581,501.7928453324315,1.0582056020512192,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,10-15,2,258,264.46745942746327,0.9755453489761484,0.9893384267917004,-1.0661573208299746,262.4741497986656,0.9829539411705969,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,15-20,3,100,102.67188008210876,0.9739765154785126,0.9565905399061172,-4.340946009388292,98.78029281117229,1.0123476773971434,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,20-25,4,40,33.22801883305574,1.203803338410516,0.9048424267475368,-9.515757325246332,30.318611287649215,1.3193216411034847,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,25-30,5,25,9.63338412454147,2.5951420266021987,0.8541084617079505,-14.589153829204948,8.320577029291757,3.0045993098783903,1424,2007-2025,2019-2024
fg,Severe/fatal accidents,All year,>=30,6,9,3.6367558116353647,2.4747331044898804,0.7849000734481335,-21.50999265518665,2.895595930531198,3.1081684792770607,1424,2007-2025,2019-2024
