wind_bin,wind_bin_lower_ms_old,estimated_vehicle_km_old,observed_accidents_old,rate_per_100m_vehicle_km_old,rate_ratio_vs_0_5_ms_old,analysis_traffic_period_old,wind_bin_lower_ms_fresh,estimated_vehicle_km_fresh,observed_accidents_fresh,rate_per_100m_vehicle_km_fresh,rate_ratio_vs_0_5_ms_fresh,analysis_traffic_period_fresh,_merge,estimated_vehicle_km_pct_change,rate_per_100m_vehicle_km_pct_change,rate_ratio_vs_0_5_ms_pct_change
0-5,0.0,28671355100.273224,2424,8.454431231179933,1.0,all,0.0,28161597672.241333,2539,9.01582370982692,1.0,all,both,-1.7779328052305199,6.640215802768279,0.0
10-15,10.0,3486194951.921217,578,16.57968094071929,1.96106402516747,all,10.0,3488376522.757847,584,16.74131207425683,1.8568810363948671,all,both,0.06257741941333439,0.9748748128233231,-5.312574573576501
15-20,15.0,665419817.7585334,184,27.651716268355816,3.270677294810361,all,15.0,620199935.0736074,186,29.99032884096076,3.3264102988473914,all,both,-6.795692204847326,8.457386694948887,1.7040202689963646
20-25,20.0,111234559.38631904,45,40.45505304130745,4.785070921401461,all,20.0,95103872.3359159,44,46.26520342367115,5.131555908002478,all,both,-14.501506671484233,14.361989283343979,7.240958228045202
5-10,5.0,12944635149.235107,1684,13.009250400537606,1.5387493309496096,all,5.0,13723376725.428246,1755,12.788397747240552,1.4184391974414563,all,both,6.015940713780199,-1.6976585621561124,-7.818696072732411
>=25,25.0,30735003.53559725,18,58.56514699649348,6.927153985297708,all,25.0,17193576.393048454,17,98.87413538275422,10.96673344166934,all,both,-44.05864839698206,68.82760558711513,58.31513872717851
