model,bin_label,bin_lower_ms_old,observed_accidents_old,time_proportional_rate_ratio_old,time_proportional_ci_95_low_old,time_proportional_ci_95_high_old,time_proportional_p_value_old,model_accidents_old,model_strata_old,model_rows_old,analysis_traffic_period_old,analysis_outcome_old,analysis_binning_old,bin_lower_ms_fresh,observed_accidents_fresh,time_proportional_rate_ratio_fresh,time_proportional_ci_95_low_fresh,time_proportional_ci_95_high_fresh,time_proportional_p_value_fresh,model_accidents_fresh,model_strata_fresh,model_rows_fresh,analysis_traffic_period_fresh,analysis_outcome_fresh,analysis_binning_fresh,season,bin_lower_c_old,reference_bin_old,analysis_variable_old,bin_lower_c_fresh,reference_bin_fresh,analysis_variable_fresh
season_rate,>=15,15.0,34,2.9737203539522814,2.064296522952641,4.2837899716372085,4.867095352208809e-09,612,566,1665,,injury,,15.0,33,3.0408257285812503,2.1011442011512114,4.4007551250102175,3.706290551212042e-09,641,591,1725,,injury,,Spring,,,,,,
season_rate,0-10,0.0,1586,1.0,,,,1733,1469,4258,,injury,,0.0,1640,1.0,,,,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,10-15,10.0,103,0.9024090555797856,0.7353335246350708,1.107445908979248,0.3256063978262943,1733,1469,4258,,injury,,10.0,102,0.8925725784465218,0.7268082428508179,1.0961430551059357,0.2782733900564125,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,>=15,15.0,44,2.2021907847267164,1.6102859205184452,3.0116665559454723,7.700829595975918e-07,1733,1469,4258,,injury,,15.0,44,2.302218265689026,1.6841100364996255,3.147186839340095,1.7164721746188764e-07,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,0-10,0.0,748,1.0,,,,897,803,2384,,injury,,0.0,786,1.0,,,,936,834,2470,,injury,,Fall,,,,,,
season_rate,10-15,10.0,103,0.9256503483720986,0.7498684121343695,1.1426385664153722,0.4721300088253791,897,803,2384,,injury,,10.0,103,0.9382753207560168,0.7604084499665595,1.1577469681965291,0.5524438759608412,936,834,2470,,injury,,Fall,,,,,,
season_rate,>=15,15.0,46,1.385119252584531,1.0158356575553746,1.888647370872337,0.0394678077436128,897,803,2384,,injury,,15.0,47,1.522352330381708,1.1194804341852702,2.070207345343446,0.0073709952972653,936,834,2470,,injury,,Fall,,,,,,
season_rate_severity,0-10,0.0,247,1.0,,,,316,292,874,,serious-fatal,,0.0,255,1.0,,,,324,300,898,,serious-fatal,,Winter,,,,,,
season_rate_severity,10-15,10.0,44,0.9586826328021272,0.6918380365829254,1.3284502178802304,0.7998646159706311,316,292,874,,serious-fatal,,10.0,45,0.9929203543573846,0.719049443342973,1.3711029738283838,0.9655824085146596,324,300,898,,serious-fatal,,Winter,,,,,,
season_rate_severity,>=15,15.0,25,1.734897787691846,1.1317870234062597,2.659396398343098,0.0114712593407598,316,292,874,,serious-fatal,,15.0,24,1.6816590292417846,1.0888136186309394,2.597301358322726,0.0190977951960959,324,300,898,,serious-fatal,,Winter,,,,,,
season_rate_severity,0-10,0.0,110,1.0,,,,138,137,406,,serious-fatal,,0.0,115,1.0,,,,144,142,418,,serious-fatal,,Spring,,,,,,
season_rate_severity,10-15,10.0,22,1.480203334765647,0.924668627058332,2.3694995678847928,0.1023205626653068,138,137,406,,serious-fatal,,10.0,23,1.5961395571710633,1.005279023838778,2.534282945880725,0.047447359692258,144,142,418,,serious-fatal,,Spring,,,,,,
season_rate_severity,>=15,15.0,6,1.953360247767279,0.8305058279414774,4.594328094018284,0.1249406053540317,138,137,406,,serious-fatal,,15.0,6,2.140550001927689,0.9082299254568408,5.044927702033052,0.0818758160402592,144,142,418,,serious-fatal,,Spring,,,,,,
season_rate_severity,0-10,0.0,389,1.0,,,,433,415,1202,,serious-fatal,,0.0,404,1.0,,,,449,431,1247,,serious-fatal,,Summer,,,,,,
season_rate_severity,10-15,10.0,29,1.0476231076403475,0.7128857493257179,1.539537263439621,0.8127573438324615,433,415,1202,,serious-fatal,,10.0,30,1.0583339357997057,0.7250346342688223,1.5448513308538094,0.7689158783537574,449,431,1247,,serious-fatal,,Summer,,,,,,
season_rate_severity,>=15,15.0,15,3.0007501137918253,1.7566867474022247,5.125843442911743,5.760552591316327e-05,433,415,1202,,serious-fatal,,15.0,15,3.1056495322593745,1.8196732353298035,5.300434621974735,3.2540849275089677e-05,449,431,1247,,serious-fatal,,Summer,,,,,,
season_rate_severity,0-10,0.0,139,1.0,,,,168,162,483,,serious-fatal,,0.0,141,1.0,,,,171,165,491,,serious-fatal,,Fall,,,,,,
season_rate_severity,10-15,10.0,17,0.8155068963985003,0.4880398193020678,1.3626992547956145,0.4362356117053484,168,162,483,,serious-fatal,,10.0,19,0.9431708203176914,0.5779898713126925,1.539077482929608,0.8148492703549838,171,165,491,,serious-fatal,,Fall,,,,,,
season_rate_severity,>=15,15.0,12,1.8997494313993264,1.0186546248027055,3.542955398451236,0.0435820338096669,168,162,483,,serious-fatal,,15.0,11,1.8816618996960857,0.9841060239639164,3.59783541462978,0.0559380980302254,171,165,491,,serious-fatal,,Fall,,,,,,
temperature_rate,<-6,,198,0.7939609814119204,0.675915473920613,0.9326225901415268,0.0049647269328123,4921,3976,29352,,,,,195,0.7694239100730444,0.6552231321858396,0.9035290793490802,0.0013861785680753,5118,4128,30609,,,,,-inf,0-3,temperature,-inf,0-3,temperature
temperature_rate,-6--3,,347,0.8792914962840669,0.7749654581498486,0.9976619310018008,0.0459023717810213,4921,3976,29352,,,,,350,0.8752941089240547,0.7723688990956005,0.991935042975268,0.036903165500135,5118,4128,30609,,,,,-6.0,0-3,temperature,-6.0,0-3,temperature
temperature_rate,-3-0,,791,1.1077011092775018,1.0075104773809789,1.217855074504234,0.0344594735723766,4921,3976,29352,,,,,822,1.1233502434578329,1.023613755755911,1.2328046222326134,0.0142079714817513,5118,4128,30609,,,,,-3.0,0-3,temperature,-3.0,0-3,temperature
temperature_rate,0-3,,1010,1.0,,,,4921,3976,29352,,,,,1048,1.0,,,,5118,4128,30609,,,,,0.0,0-3,temperature,0.0,0-3,temperature
temperature_rate,3-6,,615,0.6043684919141513,0.5452223529219682,0.6699308494251364,9.405033941653062e-22,4921,3976,29352,,,,,650,0.6149017224832636,0.5561423373324281,0.6798693480638155,2.319629918196956e-21,5118,4128,30609,,,,,3.0,0-3,temperature,3.0,0-3,temperature
temperature_rate,6-9,,707,0.7263274010625699,0.6518810207233858,0.809275737079887,6.816075662719979e-09,4921,3976,29352,,,,,736,0.7245836561891495,0.6518568994175588,0.8054244348499618,2.378266268092852e-09,5118,4128,30609,,,,,6.0,0-3,temperature,6.0,0-3,temperature
temperature_rate,9-12,,697,0.9781299397247184,0.8648404833894973,1.1062597061092896,0.7247779340208294,4921,3976,29352,,,,,721,0.9690262532514912,0.8590202252243538,1.0931196401637433,0.6088144427733952,5118,4128,30609,,,,,9.0,0-3,temperature,9.0,0-3,temperature
temperature_rate,12-15,,384,1.3352022032080888,1.1536494548280058,1.5453263692804518,0.0001058744225537,4921,3976,29352,,,,,409,1.359000157831756,1.1789332602033853,1.5665699589034583,2.3392159510643537e-05,5118,4128,30609,,,,,12.0,0-3,temperature,12.0,0-3,temperature
temperature_rate,>=15,,172,2.021776047926233,1.6784772193087565,2.4352897620210765,1.220423826647146e-13,4921,3976,29352,,,,,187,2.0971957179946785,1.7524705912923773,2.5097310627801717,6.304675330616241e-16,5118,4128,30609,,,,,15.0,0-3,temperature,15.0,0-3,temperature
wind_rate_official,0-5,0.0,1683,1.0,,,,3424,2719,13466,official,all,standard,0.0,1747,1.0,,,,3548,2816,13891,official,all,standard,,,,,,,
wind_rate_official,5-10,5.0,1169,1.115106288692132,1.0328334151233731,1.203932809370045,0.0053345952613108,3424,2719,13466,official,all,standard,5.0,1221,1.1262402625865424,1.044763491172484,1.2140710694700143,0.0019163578588514,3548,2816,13891,official,all,standard,,,,,,,
wind_rate_official,10-15,10.0,405,1.1686678805615511,1.0433114364638862,1.3090862108109405,0.007094687797427,3424,2719,13466,official,all,standard,10.0,413,1.1824569289527274,1.056880311608286,1.3229543340632643,0.0034366201608716,3548,2816,13891,official,all,standard,,,,,,,
wind_rate_official,15-20,15.0,133,1.696628955896953,1.4123922561199274,2.0380668341356047,1.5970211843899913e-08,3424,2719,13466,official,all,standard,15.0,132,1.6954531003988178,1.411050665420187,2.03717788885771,1.745610342357169e-08,3548,2816,13891,official,all,standard,,,,,,,
wind_rate_official,20-25,20.0,26,1.8237630206039916,1.2296188181875038,2.704994024266306,0.0028108157408191,3424,2719,13466,official,all,standard,20.0,28,2.0253120773234894,1.3846716809684687,2.962354951668716,0.000275311858454,3548,2816,13891,official,all,standard,,,,,,,
wind_rate_official,>=25,25.0,8,2.973100487224513,1.4672117777443827,6.024574394245777,0.0024955808625333,3424,2719,13466,official,all,standard,25.0,7,2.839481245413291,1.3354807674158984,6.037266832868531,0.0066954248138302,3548,2816,13891,official,all,standard,,,,,,,
