distance_bin_km,counters,counter_pct
0–<2,255,54.72103004291846
2–<4,67,14.377682403433477
4–<6,31,6.652360515021459
6–<8,35,7.510729613733906
8–<10,45,9.656652360515022
10–<12,14,3.004291845493562
12–<14,6,1.2875536480686696
14–<16,5,1.0729613733905579
16–<18,6,1.2875536480686696
18–20,2,0.4291845493562232
